Phase,Version,Domaine,ID_Tache,Titre,Description,Prompt_IA,Dependances,Statut,Priorite,Post_Marketing,LinkedIn,Twitter_X,Facebook
V0.1 — AUTH & PROFILS,0.1,BACKEND,B-001,Modèle de données User (Prisma schema complet),"Créer dans prisma/schema.prisma : model User, CoachProfile, ClientProfile avec tous leurs champs, relations et enums.","Prompt IA : 'Dans prisma/schema.prisma, crée les modèles complets : model User (id String @id @default(uuid()), email String @unique, passwordHash String, role Role @default(CLIENT), emailVerified Boolean @default(false), suspended Boolean @default(false), suspendedUntil DateTime?, status String @default(""ACTIVE""), createdAt DateTime @default(now()), updatedAt DateTime @updatedAt, coachProfile CoachProfile?, clientProfile ClientProfile?) | enum Role { COACH CLIENT ADMIN } | model CoachProfile (id, userId @unique FK→User, firstName, lastName, bio String?, specialties String[], certifications String[], yearsExperience Int?, hourlyRate Int?, videoUrl String?, slug String? @unique, photoUrl String?, status CoachStatus @default(PENDING), score Int @default(0), isVerified Boolean @default(false), createdAt) | enum CoachStatus { PENDING SCREENING INTERVIEW TEST APPROVED REJECTED } | model ClientProfile (id, userId @unique FK→User, firstName, lastName, objective String?, budget Int?, qualifyScore Int?, hoursPerWeek Int?, hadCoachBefore Boolean?, previousCoachResult String?, whyNow String?, status ClientStatus @default(PENDING), createdAt) | enum ClientStatus { PENDING APPROVED REJECTED } | model EmailVerification (id UUID, userId String, token String @unique, expiresAt DateTime, createdAt) | model RefreshToken (id UUID, userId String, token String @unique, expiresAt DateTime, createdAt). Commande : npx prisma migrate dev --name init_users'",S-005,Terminé,CRITIQUE,,,,
V0.1 — AUTH & PROFILS,0.1,BACKEND,B-002,Endpoint : Inscription Coach,"POST /api/auth/register/coach — Hash bcrypt (saltRounds:12), créer User(role=COACH)+CoachProfile(status=PENDING), token vérif email 48h, envoi Brevo.","Prompt IA : 'Dans NestJS, crée le endpoint POST /api/auth/register/coach dans AuthModule. DTO avec class-validator : email (IsEmail), password (min 8, 1 majuscule, 1 chiffre), firstName, lastName, specialties (IsArray), certifications (IsArray), yearsExperience (IsInt min 1), hourlyRate (IsInt min 50), bio (MinLength 200), videoUrl (IsUrl optionnel). Actions : 1) Vérifier unicité email (400 si existe). 2) bcrypt.hash(password, 12). 3) Prisma : créer User(role=COACH) + CoachProfile(status=PENDING). 4) crypto.randomBytes(32).toString(""hex"") → stocker dans EmailVerification avec expiresAt=now+48h. 5) Appel API Brevo : POST https://api.brevo.com/v3/smtp/email avec template email vérification et lien /verify-email?token=xxx. 6) Retourner 201 { message: ""Candidature soumise. Vérifiez votre email."", userId }.'","B-001, S-008",Terminé,CRITIQUE,,,,
V0.1 — AUTH & PROFILS,0.1,BACKEND,B-003,Endpoint : Inscription Client avec scoring auto,POST /api/auth/register/client — Calcul score 4 critères (25pts chacun). Score < 60 → REJECTED + email. Score >= 60 → PENDING.,"Prompt IA : 'Crée POST /api/auth/register/client dans NestJS. DTO : email, password, firstName, lastName, objective (MinLength 50), budget (IsInt), hoursPerWeek (IsInt min 0), hadCoachBefore (IsBoolean), previousCoachResult (optionnel), whyNow (MinLength 50). Scoring automatique : objective.length > 50 → +25 | hoursPerWeek >= 2 → +25 | budget >= 200 → +25 | hadCoachBefore === true && previousCoachResult && previousCoachResult.length > 10 → +25. Si score < 60 → ClientProfile.status=REJECTED + email Brevo refus poli. Si score >= 60 → status=PENDING + email ""candidature en cours d\'analyse"". Créer User(role=CLIENT) + ClientProfile. Retourner 201 { message, score, status }.'","B-001, S-008",Terminé,CRITIQUE,,,,
V0.1 — AUTH & PROFILS,0.1,BACKEND,B-004,Endpoint : Vérification Email,"GET /api/auth/verify-email?token=xxx — Chercher token, vérifier expiry 48h, emailVerified=true, supprimer token.","Prompt IA : 'Crée GET /api/auth/verify-email?token= dans NestJS. 1) Trouver le token dans EmailVerification. 2) Si introuvable → 400 { error: ""Token invalide"" }. 3) Si expiresAt < now → 400 { error: ""Token expiré"" }. 4) Mettre User.emailVerified=true. 5) Supprimer l\'enregistrement EmailVerification. 6) Retourner 200 { message: ""Email vérifié"" } (le frontend redirige vers /login?verified=true).'",B-002,Terminé,CRITIQUE,,,,
V0.1 — AUTH & PROFILS,0.1,BACKEND,B-005,Endpoint : Login JWT (access 15min + refresh 7j),"POST /api/auth/login — Vérif bcrypt + emailVerified, générer accessToken JWT 15min + refreshToken 7j, stocker refresh en BDD.","Prompt IA : 'Crée POST /api/auth/login dans NestJS. 1) Trouver User par email. Si absent → 401. 2) await bcrypt.compare(password, user.passwordHash). Si faux → 401. 3) Si !user.emailVerified → 403 { error: ""Email non vérifié"" }. 4) Générer accessToken = jwt.sign({ userId: user.id, role: user.role }, JWT_SECRET, { expiresIn: ""15m"" }). 5) Générer refreshToken similaire avec JWT_REFRESH_SECRET, expiresIn: ""7d"". 6) Stocker refreshToken dans table RefreshToken (userId, token, expiresAt=now+7j). 7) Retourner { accessToken, refreshToken, user: { id, email, role, firstName, status } }.'","B-002, B-003",Terminé,CRITIQUE,,,,
V0.1 — AUTH & PROFILS,0.1,BACKEND,B-006,Endpoint : Refresh Token,"POST /api/auth/refresh — Valider refreshToken, générer nouveau accessToken.","Prompt IA : 'Crée POST /api/auth/refresh dans NestJS. Body : { refreshToken }. 1) jwt.verify(refreshToken, JWT_REFRESH_SECRET). Si erreur → 401. 2) Chercher le token dans la table RefreshToken. Si absent → 401. 3) Retourner { accessToken: nouveau JWT 15min }.'",B-005,Terminé,HAUTE,,,,
V0.1 — AUTH & PROFILS,0.1,BACKEND,B-007,Guards JWT + RolesGuard + Endpoints Profil,Créer JwtAuthGuard + RolesGuard réutilisables. GET /api/coaches/me + PATCH /api/coaches/me + GET /api/clients/me.,"Prompt IA : 'Dans NestJS crée : 1) JwtAuthGuard (extends AuthGuard(""jwt"")) avec stratégie JwtStrategy qui valide le Bearer token et injecte userId+role dans req.user. 2) RolesGuard qui vérifie le role via @Roles() decorator custom. 3) GET /api/coaches/me (auth COACH) → retourner CoachProfile complet de l\'user connecté. 4) PATCH /api/coaches/me (auth COACH) → body partiel (bio, hourlyRate, specialties...) → mettre à jour CoachProfile → retourner profil mis à jour. 5) GET /api/clients/me (auth CLIENT) → retourner ClientProfile complet.'",B-005,Terminé,HAUTE,,,,
V0.1 — AUTH & PROFILS,0.1,BACKEND,B-008,Endpoint : Upload Vidéo Coach (Cloudinary),"POST /api/coaches/me/video — Multipart/form-data, validation format mp4/mov max 100MB, upload Cloudinary, MAJ videoUrl.","Prompt IA : 'Crée POST /api/coaches/me/video dans NestJS (auth COACH). Utiliser @UseInterceptors(FileInterceptor(""video"")) + MulterModule avec limits: { fileSize: 100*1024*1024 }. Valider mimetype : video/mp4 ou video/quicktime. Uploader sur Cloudinary : cloudinary.uploader.upload(file.path, { resource_type: ""video"", folder: ""elitcoach/coaches"" }). Mettre à jour CoachProfile.videoUrl. Retourner { videoUrl }.'","B-007, S-008",Terminé,MOYENNE,,,,
V0.1 — AUTH & PROFILS,0.1,ADMIN,A-001,Endpoint Admin : Liste candidatures coach,"GET /api/admin/coaches?status=PENDING&page=1&limit=20 — Auth ADMIN, liste paginée avec infos User.","Prompt IA : 'Crée GET /api/admin/coaches dans NestJS (auth ADMIN via RolesGuard). Query params : status (CoachStatus, optionnel), page (default 1), limit (default 20). Prisma : findMany CoachProfile avec include User, where status si fourni, skip/take pour pagination. Retourner { data, total, page, limit }.'",B-005,Terminé,HAUTE,,,,
V0.1 — AUTH & PROFILS,0.1,ADMIN,A-002,Endpoint Admin : Changer statut coach (pipeline 5 étapes),PATCH /api/admin/coaches/:id/status — Workflow PENDING→SCREENING→INTERVIEW→TEST→APPROVED/REJECTED. Email auto selon statut via Brevo.,"Prompt IA : 'Crée PATCH /api/admin/coaches/:id/status (auth ADMIN). Body : { status: CoachStatus, note: string }. Actions : 1) Mettre à jour CoachProfile.status + note. 2) Si APPROVED → isVerified=true. 3) Envoi email Brevo selon statut : SCREENING → ""Votre dossier est en cours d\'examen"" | INTERVIEW → ""Vous passez à l\'entretien, choisissez un créneau [Calendly]"" | TEST → ""Vous passez à la session test, voici les instructions"" | APPROVED → ""Bienvenue ! Voici votre badge Verified Coach"" | REJECTED → ""Après examen, nous ne pouvons pas vous accueillir [motif]"".'","A-001, S-008",Terminé,HAUTE,,,,
V0.1 — AUTH & PROFILS,0.1,ADMIN,A-003,Endpoints Admin : Candidatures clients (liste + statut),GET /api/admin/clients + PATCH /api/admin/clients/:id/status — Même logique que coachs. Email APPROVED ou REJECTED.,"Prompt IA : 'Crée dans NestJS (auth ADMIN) : 1) GET /api/admin/clients?status=&page=1 → liste ClientProfiles avec User, paginée. 2) PATCH /api/admin/clients/:id/status : body { status: ClientStatus, note }. Si APPROVED → email ""Bienvenue ! Votre profil est actif, découvrez les coachs : [lien]"". Si REJECTED → email refus poli avec motif.'",B-005,Terminé,HAUTE,,,,
V0.1 — AUTH & PROFILS,0.1,FRONTEND,F-001,Page Inscription Coach (5 étapes),Formulaire multi-étapes avec barre progression dorée. Étapes : infos base / expertise / tarifs+bio / vidéo / références. Style fond #0D0D0D accents #C9A84C. Tailwind pur.,"Prompt IA : 'Crée la page /register/coach pour ElitCoach by Zero to One. Next.js 14 App Router, Tailwind CSS, React Hook Form, Zod. 5 étapes avec barre de progression dorée en haut. ÉTAPE 1 : Prénom (requis), Nom (requis), Email (IsEmail), Password (min 8 chars 1 majuscule 1 chiffre), Confirm password. ÉTAPE 2 : Spécialités checkboxes (Business, Leadership, Life Coaching, Confiance en soi, Santé & Bien-être, Carrière, Relations, Performance), Années expérience (number min 1), Certifications (input tags : on tape + Entrée pour ajouter). ÉTAPE 3 : Tarif horaire (number min 50), Bio (textarea min 200 chars avec compteur de caractères). ÉTAPE 4 : Upload vidéo (input file accept mp4/mov max 100MB) OU lien YouTube/Vimeo avec preview embarquée si YouTube détecté. ÉTAPE 5 : 3 références (Nom, Email, Relation ex: ""Client coaché 6 mois""). Navigation : bouton Précédent / Suivant (valide l\'étape courante). Soumission → POST /api/auth/register/coach. Si 201 → page succès. Si 400 email existant → message sous le champ email. Style : fond #0D0D0D, accents #C9A84C, boutons fond doré texte noir, barre progression dorée, messages erreur rouge doux, animation fade entre étapes. Tailwind pur, zéro shadcn ni MUI.'","B-002, S-006",Terminé,CRITIQUE,,,,
V0.1 — AUTH & PROFILS,0.1,FRONTEND,F-002,"Page Inscription Client (2 étapes, ton exclusif)",Formulaire qualification. Message dès le début : 'Nous sélectionnons nos clients aussi soigneusement que nos coachs.' Score < 60 → page refus. Score >= 60 → page attente.,"Prompt IA : 'Crée la page /register/client pour ElitCoach by Zero to One. Next.js 14, Tailwind CSS, React Hook Form, Zod. IMPORTANT afficher en haut dès le chargement : ""Nous sélectionnons nos clients aussi soigneusement que nos coachs."" ÉTAPE 1 : Prénom, Nom, Email, Password (min 8), Confirm password. ÉTAPE 2 (formulaire qualification, afficher en haut : ""Ces questions permettent de vérifier que le coaching est la bonne étape pour vous."") : Quel résultat précis en 3 mois (textarea min 100 chars, placeholder : ""Ex: Signer 3 nouveaux clients et atteindre 5000€ de CA mensuel"") | Comment mesureras-tu ce résultat (textarea min 50 chars) | Heures/semaine (select : Moins d\'1h / 1-2h / 2-4h / Plus de 4h) | Budget mensuel (select : Moins de 100€ / 100-300€ / 300-600€ / Plus de 600€) | Déjà travaillé avec un coach (radio Oui/Non, si Oui → textarea ""Quel résultat ? Pourquoi arrêté ?"") | Pourquoi maintenant (textarea min 100 chars). POST /api/auth/register/client. Si status=REJECTED → page : ""Après analyse, le coaching ne semble pas la bonne étape pour vous en ce moment."". Si status=PENDING → ""Votre candidature est en cours d\'analyse. Réponse sous 48h."". Fond #0D0D0D accents #C9A84C.'","B-003, S-006",Terminé,CRITIQUE,,,,
V0.1 — AUTH & PROFILS,0.1,FRONTEND,F-003,Page Login,Connexion avec redirect selon rôle. Stocker accessToken localStorage + refreshToken cookie. Guard si déjà connecté.,"Prompt IA : 'Crée la page /login pour ElitCoach by Zero to One. Next.js 14, Tailwind CSS, React Hook Form, Zod. Contenu : Logo ""ElitCoach"" en grand + ""by Zero to One"" en #C9A84C dessous | Email (IsEmail) | Password (toggle afficher/masquer) | Bouton ""Se connecter"" fond doré | Lien ""Mot de passe oublié ?"" | Séparateur hr | 2 liens : ""Je suis coach — m\'inscrire"" → /register/coach + ""Je cherche un coach — candidater"" → /register/client | Lien discret en bas : ""Accès admin"". POST /api/auth/login. Selon role : COACH→/dashboard/coach | CLIENT→/dashboard/client | ADMIN→/admin. Stocker accessToken dans localStorage, refreshToken dans cookie. Guard : si token valide en localStorage → redirect immédiat selon role. Fond #0D0D0D, card centrée avec bordure dorée subtile.'","B-005, S-006",Terminé,CRITIQUE,,,,
V0.1 — AUTH & PROFILS,0.1,FRONTEND,F-004,Page Confirmation Email,"Page /verify-email?token=xxx — Spinner pendant vérif, succès (check vert + Se connecter) ou erreur (X rouge + Renvoyer email).","Prompt IA : 'Crée la page /verify-email pour ElitCoach by Zero to One. Next.js 14 App Router, Tailwind CSS. La page lit le ?token= de l\'URL. Au montage : appeler GET /api/auth/verify-email?token=xxx. Pendant : spinner doré animé + ""Vérification en cours..."". Succès (200) : icône check vert + ""Email vérifié ! Vous pouvez vous connecter."" + bouton ""Se connecter"" → /login. Erreur (400) : icône X rouge + ""Ce lien est invalide ou a expiré."" + bouton ""Renvoyer un email de vérification"". Fond #0D0D0D, card centrée.'","B-004, S-006",Terminé,HAUTE,,,,
V0.1 — AUTH & PROFILS,0.1,ADMIN,A-004,Interface Admin : Pipeline Coachs,Page /admin/coaches — Sidebar + tabs statuts avec compteurs + table + modal détails + lecteur vidéo + actions workflow.,"Prompt IA : 'Crée /admin/coaches pour ElitCoach by Zero to One. Next.js 14, Tailwind CSS. LAYOUT : sidebar gauche fixe #0D0D0D (liens : Dashboard/Coachs/Clients/Sessions/Paiements/Conversations/Alertes/Paramètres, texte actif doré) + zone principale #FAFAF8. CONTENU : 1) En-tête ""Pipeline Candidatures Coachs"" + badge rouge nb en attente. 2) Tabs : Tous/PENDING/SCREENING/INTERVIEW/TEST/APPROUVÉS/REFUSÉS (chaque tab affiche son count). 3) Table : Nom complet | Email | Spécialités (tags) | Certifications | Expérience | Tarif | Score | Date | Statut badge coloré | Actions (bouton ""Voir détails"" + dropdown ""Changer statut""). 4) Modal/Drawer ""Voir détails"" : toutes infos + player vidéo YouTube embarqué si videoUrl | notes admin textarea | 3 références | boutons ""Passer à Entretien/Test/Approuver/Refuser"" (chacun avec confirmation modale + champ motif). 5) Pagination. Charger : GET /api/admin/coaches?status=[tab]&page=. Changer statut : PATCH /api/admin/coaches/:id/status. Actualiser liste après changement.'","A-001, A-002",Terminé,HAUTE,,,,
V0.1 — AUTH & PROFILS,0.1,ADMIN,A-005,Interface Admin : Pipeline Clients,Page /admin/clients — Identique à A-004. Score affiché avec barre colorée (rouge<60 / orange 60-75 / vert>75).,"Prompt IA : 'Crée /admin/clients pour ElitCoach by Zero to One. Next.js 14, Tailwind CSS. Sidebar identique à A-004 (composant réutilisé). CONTENU : 1) En-tête ""Candidatures Clients"" + compteur en attente. 2) Tabs : Tous/En attente/Approuvés/Refusés. 3) Table : Nom complet | Email | Objectif (tronqué 60 chars, tooltip complet au hover) | Budget | Score (barre colorée : rouge<60 / orange 60-75 / vert>75) | Date | Statut | Action ""Voir candidature"". 4) Modal ""Voir candidature"" : toutes les réponses du formulaire affichées proprement | détail calcul score (4 critères avec points obtenus) | champ note admin | boutons ""Approuver""/""Refuser"" (refus = motif obligatoire). GET /api/admin/clients | PATCH /api/admin/clients/:id/status. Style admin standard.'",A-003,Terminé,HAUTE,POST ÉTAPE — Publier après F-001 + F-002 + F-003 + A-004 + A-005 terminés,"ElitCoach v0.1 — ce qu'on vient de construire.

Cette semaine :
→ Inscription coachs (formulaire 5 étapes, validation vidéo, références)
→ Qualification clients avec scoring automatique
→ Login JWT (access token 15min + refresh token 7j)
→ Pipeline admin pour gérer les candidatures

La décision de design la plus importante :
Les clients sont scorés automatiquement à l'inscription. Score < 60/100 → rejet immédiat.

Critères : objectif précis / disponibilité / budget / historique coaching.

98% des plateformes de coaching n'ont aucun filtre côté client.
On a choisi le contraire.

#buildinpublic #saas #elitcoach #zerotoone","ElitCoach v0.1 est terminé.

Ce qu'on a buildé cette semaine :
→ Inscription coachs (5 étapes + vidéo)
→ Scoring automatique des clients (score < 60 = rejet)
→ Login JWT double token
→ Pipeline admin complet

Le détail qui change tout :
Les clients sont filtrés à l'inscription.
98% des plateformes de coaching ne font pas ça.

#buildinpublic #saas #elitcoach","Semaine 1 terminée sur ElitCoach ✅

On a construit :
→ Le formulaire d'inscription coachs en 5 étapes
→ Un algorithme de scoring pour les clients (score < 60 = refus automatique)
→ Le système de login JWT
→ L'interface admin pour gérer les candidatures

Pourquoi filtrer les clients ?
Parce qu'un coach sérieux mérite des clients sérieux.

Suite la semaine prochaine : réservation + paiement Stripe.

#buildinpublic #elitcoach #saas #entrepreneuriat"
V0.2 — RÉSERVATION & PAIEMENT,0.2,BACKEND,B-009,Modèle données Disponibilités & Sessions (Prisma),"Ajouter model Availability, model Session, enum SessionStatus dans le schema Prisma.","Prompt IA : 'Dans prisma/schema.prisma ajoute : model Availability (id UUID, coachId FK→CoachProfile, dayOfWeek Int 0-6, startTime String ""HH:MM"", endTime String, isActive Boolean default true, coach relation) | model Session (id UUID, coachId FK, clientId FK, scheduledAt DateTime, durationMins Int default 60, status SessionStatus default PENDING, price Int centimes, stripePaymentIntentId String?, zoomLink String?, coachNotes String?, cancelReason String?, cancelledBy String?, createdAt DateTime, coach relation, client relation) | enum SessionStatus { PENDING CONFIRMED COMPLETED CANCELLED NO_SHOW }. Commande : npx prisma migrate dev --name add_availability_sessions'",B-001,Terminé,CRITIQUE,,,,
V0.2 — RÉSERVATION & PAIEMENT,0.2,BACKEND,B-010,Endpoint : Disponibilités Coach (POST + GET),POST /api/coaches/me/availability — Remplace tous les slots. GET /api/coaches/:coachId/availability?week= — Retourne créneaux dispo de la semaine.,"Prompt IA : '1) POST /api/coaches/me/availability (auth COACH APPROVED) : body { slots: [{dayOfWeek, startTime, endTime}] }. Valider absence de chevauchement. Transaction Prisma : deleteMany anciens slots + createMany nouveaux. Retourner { message, count }. 2) GET /api/coaches/:coachId/availability?week=YYYY-MM-DD (auth CLIENT) : Pour chaque slot Availability du coach, calculer la date réelle dans la semaine demandée (ex: dayOfWeek=1 → lundi de la semaine). Exclure les dates avec une Session CONFIRMED ou PENDING. Retourner { week, slots: [{date, startTime, endTime, available}] }.'",B-009,Terminé,CRITIQUE,,,,
V0.2 — RÉSERVATION & PAIEMENT,0.2,BACKEND,B-011,Endpoint : Créer réservation (Stripe pre-auth),"POST /api/sessions — Vérif disponibilité, Stripe PaymentIntent capture_method=manual, créer Session PENDING. Retourner clientSecret.","Prompt IA : 'Crée POST /api/sessions dans NestJS (auth CLIENT status=APPROVED). Body : { coachId, scheduledAt: ISO8601, durationMins: 60 }. 1) Vérifier qu\'aucune Session CONFIRMED ou PENDING n\'existe pour ce coach à ce moment → sinon 409 { error: ""Créneau non disponible"" }. 2) Récupérer coach.hourlyRate. 3) price = hourlyRate * (durationMins/60), en centimes : price * 100. 4) stripe.paymentIntents.create({ amount: priceInCents, currency: ""eur"", capture_method: ""manual"", metadata: { sessionId: ""temp"", coachId, clientId } }). 5) Créer Session en Prisma avec status=PENDING + stripePaymentIntentId. 6) Mettre à jour le metadata Stripe avec le vrai sessionId. 7) Retourner { sessionId, stripeClientSecret: pi.client_secret, amount: priceInCents, currency: ""eur"" }.'","B-009, B-010, S-007",Terminé,CRITIQUE,,,,
V0.2 — RÉSERVATION & PAIEMENT,0.2,BACKEND,B-012,Webhook Stripe : Confirmer + échouer paiement,POST /api/webhooks/stripe — payment_intent.succeeded → Session CONFIRMED + emails + rappel Bull Queue. payment_intent.payment_failed → Session CANCELLED.,"Prompt IA : 'Crée POST /api/webhooks/stripe dans NestJS. Header stripe-signature → stripe.webhooks.constructEvent(rawBody, sig, STRIPE_WEBHOOK_SECRET). Utiliser @RawBody() pour récupérer le body brut (configurer app.use(express.raw({ type: ""application/json"" })) dans main.ts). Événement payment_intent.succeeded : récupérer sessionId depuis metadata → Session.status=CONFIRMED + générer zoomLink (""https://zoom.us/j/"" + randomInt) + email coach ""Nouvelle session confirmée [date] [heure]"" + email client ""Votre session est confirmée, lien Zoom : [lien]"" + planifier job Bull Queue à H-24 et H-1. Événement payment_intent.payment_failed : Session.status=CANCELLED + email client ""Paiement échoué, votre créneau a été libéré"".'","B-011, S-007",Terminé,CRITIQUE,,,,
